title,id,viewcount,likecount,dislikecount,commentcount,favoritecount
DYEING ROOMMATE'S HAIR PRANK GONE WRONG!,6piToKV-6hk,3064845,36733,8880,1008,0
Prank on Cops With Donuts!,O4kdQ3hxrPA,1842436,40353,3342,2632,0
Bad Target Employee Prank !,VS47Et8OGqU,1861768,31329,1714,2027,0
Cop Drug Bust Prank On Wutang!,0WoZ8_cMV9o,1752799,25577,1379,1057,0
Bad Walmart Employee Prank !,s_-GofJj3nQ,2043358,29001,3597,2049,0
Calling In Sick To Places We Don't Work At,KPU8ezG8FLQ,1331152,21251,1464,1418,0
Breaking Up With Girls We're Not Dating PRANK,BzkvTkrr0Q8,2455684,54399,2990,2547,0
Sexy Snapchat Friend PRANK!,teRMVE-OtLw,1011806,18099,2201,1002,0
Getting Girls Numbers Celebration Prank !,g01U4QEfAhM,1614213,47236,638,1865,0
How to NOT Get Hired at McDonalds,zq1hj7ZvmFg,3625997,48701,1936,2444,0
Bad Apple Store Employee Prank!,x364TSJTXuQ,5944265,68349,9093,6362,0
Roomate Time Switch Prank!!,p727AxRhShQ,1261219,22236,925,624,0
Sexy Tinder Date Prank !,gdTuA_Zh9n8,1627873,25086,2768,2568,0
Coke Prank on Cops,bLeHQFBMtmk,28227869,349481,10318,17829,0
Homeless Man's Birthday Surprise!!,mJifDkyyxZ8,1110447,37085,217,2888,0
Donating To The Rich,zrOLIm7MKeo,3722323,47378,2777,3335,0
Can I Touch Your Cock!?,KrBWC2vSnAI,1153487,13387,208,434,0
7 Ways To Compliment Boobs,oChIeqBFNvQ,8418334,101313,1689,1916,0
Putting Lemons on People!!,TgFH9P5onAc,1157713,19560,623,906,0
Ordering Pizza To Our Meth Lab,g8ZgzRQhz64,4774308,56701,2734,2875,0
YOU LIT ME ON FIRE!!!,TpuWvIrSXUY,958709,13569,415,837,0
SHARK ATTACK PRANK!!!,S1HymNqvgWI,1012018,26561,1062,1259,0
Fake House Party Prank on Mom!!,1Od35C5mgBE,3832782,60738,2300,3233,0
"Asking Guys How 'BIG"" They Are!!",B5HeT8RZ-kc,601192,7376,306,421,0
Hold My Dildo Prank,E-gksmkhKMM,496389,6525,219,529,0
Involving Strangers In Drug Deals PRANK,Ybay3fhSZ0g,635402,12083,288,486,0
Calling In Sick To Places We Don't Work At,wYvh4EQkfXY,3857155,42012,2350,1606,0
Taking Selfies With Strangers Prank!,qm5PW_tW0Wk,406047,8573,238,542,0
CUTE LITTLE KID'S BEST HALLOWEEN!!!!,wxwM6o-UiMI,496177,9078,119,690,0
Stealing Soccer Balls From Real Games PRANK,_cXEwpcs2rc,7349489,84662,7605,5889,0
Pretending To Be a McDonalds Employee PRANK,Qmmh8Hc_zhI,6005840,46200,6196,2439,0
McDonalds Job Interview PRANK,lgLU93ZOdGU,1069186,11280,565,1246,0
