title,id,viewcount,likecount,dislikecount,commentcount,favoritecount
Morality is Subjective,xG4CHQdrSpc,15543,1165,51,362,0
Can't We Just Improve the Welfare of Animals?,02GNr5DnPCk,15866,1347,27,293,0
Why Farmed Animals Should be Grateful,pueLyA1lIcA,10584,1028,20,121,0
We Are More Intelligent Than Animals,-6qhtS5moFM,12536,1080,25,315,0
Humans Are at the Top of the Food Chain,-truOzeWBR8,20087,1532,52,213,0
Do Animals Feel Pain?,nIP5Yrqdugc,13562,1094,17,218,0
Plants Feel Pain,EqUFqaeZA2g,31723,2283,62,500,0
Human Rights Issues are More Important Than Veganism,G66fBppXw4I,22770,2078,27,319,0
"If the World Went Vegan, What Would Happen to the Animals?",1M1fKxjlLV4,25758,1534,34,209,0
Our Ancestors Ate Animals,YJtSoZPgaz0,17729,1259,32,270,0
It's Cultural and Traditional to Eat Animals,0tItNLwMT_g,15065,1192,22,263,0
Veganism Is Unhealthy,XOI6FbEE5Jc,33342,2134,114,548,0
Animals Eat Other Animals,lyQyI280YEo,23928,1621,44,237,0
I Love How Animals Taste!,w7sn6gyxMvE,29499,2083,41,440,0
It's My Personal Choice To Eat Animals!,LseSfTA1BMw,32968,2439,52,464,0
Can You Love Animals and Eat Them?,7mjVwVDDI8E,39624,2794,44,290,0
Vegan Visits UK Dairy Farm,Ryz98loNvKo,79193,3901,828,1838,0
VEGANS TAKE ON POLICE TO SAVE A TURKEY'S LIFE,ZT_5lenUs8s,58119,5189,300,1139,0
Farmers Fail to Justify Killing Animals (PART TWO),yBE3KGqonew,49302,3218,178,1014,0
Farmers Fail to Justify Killing Animals,AfBkwNRhn6o,95524,5242,404,1516,0
Responding to Vegan vs Farmer Hate Comments,fDpDgSD6F20,49640,5215,210,1244,0
VEGAN vs ANGRY FARMER (I FINALLY LOST MY COOL),VdPcvOM4vXk,534471,30257,3761,12315,0
What Scares You the Most? Halloween Special,MbKcfe9VRmI,22254,1808,28,426,0
BUT BEARS EAT MEAT?,dYwk1Pd-g4s,83108,5565,115,1055,0
Difficulties with Non-Vegan Friends & Family (Is My Family Vegan?),OHi9VF_0CFM,100332,8528,121,1573,0
Police Officer Forced to Question His Ethics,_fbC83z-eq0,62830,3276,84,495,0
Reading Vegan Hate Comments #3,JJS2kgA813M,56252,4351,81,632,0
I Like Animals AND I Like Meat!,39y0sF8BnpY,39609,2677,29,461,0
You're a Vegan? Are You Often Ill?,HDJCwx6gT2I,206053,8701,234,1876,0
Vegan Visits Dairy Farm,iL9QJEm_SJY,470836,13911,3346,8445,0
Is Eating Animals Natural?,fq_ElEA9uLs,25497,1813,24,491,0
A MESSAGE TO ALL VEGANS,2igULtwaVA4,58479,6144,74,797,0
Vegan Gatecrashes Carnival,mAce2RsVnwU,16259,1024,19,249,0
How to Become a Vegan Activist,oW682wH7078,43063,3743,89,474,0
Do I Get Angry During Street Interviews? Q&A,6uEDOjgQkdc,53247,3245,35,406,0
Rescued Piglets Served up as Sausages to Firefighters,7ffHdioafIw,32557,2943,71,633,0
EVERY ARGUMENT AGAINST VEGANISM,RDx0DW8GN_w,241875,12736,565,3498,0
Reading Vegan Hate Comments #2,ctorp_EL970,105148,8432,199,1724,0
Slave Market Confrontation,B0UYOsifuv0,28534,1630,77,367,0
Weaning People Off Breast Milk,9kovDSdeh9g,31063,2558,24,379,0
Close All Slaughterhouses,dpOfIwaZD8Y,10259,1642,20,227,0
Land of Hope and Glory (UK 'Earthlings' Documentary),dvtVkNofcq8,289669,12870,303,2845,0
Land of Hope and Glory Trailer,OqPflP_hXyY,15150,1121,8,164,0
Ethical Dog Meat at Yulin,fCmSmHig5v0,11676,887,13,211,0
Being an Angry Vegan,OMIsFajOCYk,33062,3052,70,412,0
YOU CHOOSE THEIR REALITY,TH51XkNmNJo,29858,3165,48,413,0
Reading Vegan Hate Comments,emElO7Ln5m4,156162,12190,561,2866,0
How to Talk to Non-Vegans,PxCF_8sY54o,123409,9535,251,1005,0
"""It's Wrong Not to Eat Meat"" - Talking to Stoners About Veganism",GygMmKlB2vI,24102,1454,23,430,0
Talking to Stoners at 420 About Veganism,z2qOvbWZHJM,88232,3578,138,624,0
Sky News: Cat Fur Labelled Faux Fur in UK,qreCr3uuaWo,48570,3204,31,397,0
Animal Lover Tries to Justify Wearing Fur,x5K53Hvvm8k,31983,1712,42,349,0
Vegan Threatens to Kill Pig in London,_64PpRzq45E,32802,1731,25,319,0
Would You Let Aliens Eat You?,AhGW3WWFRjQ,24398,1742,23,359,0
What Noise Does Bacon Make?,sS1XHQ7hoXE,28220,2085,35,538,0
Zombie Apocalypse? Eat Your Pet Dog,22YB5gwbF8I,9756,850,7,133,0
Humane Bacon?,GtpgsdOXKB4,58521,2440,45,438,0
Jamie Oliver's Happy Milk,_OHk94BebbY,51681,4320,98,672,0
I'm scared and I don't want to die.,WX2KWByTHUI,16759,833,27,292,0
BBC Features Vegan Activism + Veganuary,N5ahQX452FA,15842,1181,11,171,0
Unite for the Animals at The Official Animal Rights March 2017!,YRV-OfPcgqU,4380,363,6,101,0
They Could Have Saved Them,Td-mk5ozj14,6744,629,15,107,0
FAKE VEGAN MILK!,nta27fsUxvc,26130,2716,14,346,0
Vegan Spends a Year Talking to Meat Eaters,V870cWg8uZA,62512,3384,139,674,0
Eating Reindeer for Christmas Dinner?,jZs4musCJKY,15988,995,28,195,0
Meet Your British Bacon,o67mK42zgOU,16770,413,46,337,0
Anti-Fur Demonstrators Take Over Michael Kors,dZkoN_j0pVE,10356,922,36,135,0
Australian Live Export Trucks Are Spotless?,Ap9i4tbANUg,6267,532,4,100,0
Does Convenience Justify Cruelty?,N81I2wLwwVY,19035,1038,15,177,0
#LidlSurprises: Christmas Turkey Advert 2016 - THE TRUTH!,hMxva3UTFKA,14925,652,18,120,0
iAnimal Vegan Outreach,K9eikQiYvdg,6742,519,5,46,0
Animal Rights March October 29th 2016 | by Adam Wakeling,xKp5pWZoDgk,3318,401,6,35,0
ANIMAL RIGHTS MARCH SPEECH,sAa_t96aJAg,13689,1413,18,161,0
WOULD THESE STUDENTS BEG FOR MERCY?,KMR9rdTZpnA,19598,1124,17,360,0
STUDENTS DON'T THINK CLIMATE CHANGE IS REAL?,pwIraOTKLwY,23057,1139,19,292,0
VEGAN CONFRONTS STUDENTS ABOUT ANIMAL CRUELTY,n1m4Papw5xE,26465,1211,24,297,0
CAN HE BECOME A VEGAN POWERLIFTER?,jna985Q5Nsg,25470,1496,13,252,0
HE'D DRINK HUMAN BREAST MILK? STREET INTERVIEWS,gCOz0g-LdQM,13957,757,6,110,0
MEAT EATING ENVIRONMENTALISTS?,m-0m30Aavh8,21196,1177,16,226,0
THE CRUELTY BEHIND OUR CLOTHING - WOOL,dUnTyjBuxkk,22436,1038,60,219,0
HE ATE DOG IN CHINA?,G0TaI9lcTkU,25992,1292,20,246,0
VEGAN ASKS MEAT EATERS ABOUT EQUALITY,E920aHeKeaE,18633,995,15,229,0
MEAT EATER MORE VEGAN THAN A VEGAN?,RWD03vtJJFk,99320,3448,50,689,0
DO CORPSE EATERS BELIEVE IN KARMA?,554TKan_zsk,14742,895,19,216,0
AGAINST YULIN? YOU NEED TO SEE THIS!,1NesZCRuSXw,4724,355,7,76,0
SHOULD IT BE LEGAL TO EAT DOGS? YULIN PROTEST,ZqVxts4yGXo,26731,1408,35,438,0
