title,id,viewcount,likecount,dislikecount,commentcount
Fake Sea World Employee Prank!,-SEjuLQsAw0,2307761,90612,1388,4519
Fake Buffalo Wild Wings Employee Prank!,k25JLOXYh2U,2452070,82044,1144,5835
The POLICE tried to ambush us.. (CODE RED ZOO PRANK),c92YVjj6uZA,961363,133868,1276,3756
WATCHING PORN IN LECTURES PRANK!,CqCaF-O3j1g,1457311,68984,1236,4323
HITTING BONG IN THE GYM PRANK!,IisVvZRUG0Q,807459,47998,559,3262
BEEFING College Football Fans! (FIGHT BREAKS OUT) ft. BigDawsTv,jp6qOnZuIEI,3713624,97563,2383,5626
someone tried to prank NELK.. (GONE WRONG),0A4-VXaP9jg,1946898,62365,1036,3829
STEALING GOLF CARTS IN GHILLE SUITS PRANK! (CHASED BY GOLFERS),fet_n42qaFg,1368127,62460,1173,4368
ASKING GUYS TO NETFLIX AND CHILL,nWuQOLF3OYs,1026194,38654,612,3184
DROPPING OUT OF AN EXAM PRANK!,7GzgwKwGhKQ,1831864,79139,1087,6663
LOWBALLING CAR SALESMAN PRANK!,rBpMYATttsI,2051465,64264,2748,4701
Fake Pet Smart Employee Prank!,gifPYwArCVQ,2388210,74378,1293,11570
WORKING OUT IN WALMART PRANK!,i8PmWkQ_O1A,1132981,52445,667,3368
Fake Gas Station Employee Prank!,wwUf6oKFFEY,4539796,99892,7112,7667
Telling Guys We Smashed Their Girlfriends PRANK CALL,fs-1iXx1a1A,3136861,93428,1695,4107
We Can't Film In Canada Anymore..,UFIfWCaioFU,925776,42360,1007,5976
NELK is facing jail time..,KYoLgOYSp7c,1033884,55813,1200,8198
SHOTGUNNING BEERS IN THE LIBRARY!,g9kPdj1iT_0,1593311,51653,1057,3221
Chirping Hockey Dads Prank!  (KICKED OUT OF THE ARENA),hliy1tHH-kk,1270996,48339,785,3684
Calling In Sick To Places We Dont Work At ft. Banks,iQg52mcVgI4,1961917,61522,1380,6238
LOUD SCREAMING AT GOLD'S GYM PRANK!,PWD7iwAEEzM,1409006,57739,1153,3774
DRINKING BEERS IN LECTURES PRANK!,ztU6wMd4-XU,4173470,91158,4655,4149
MOVING INTO THE CLOUT HOUSE!,tHlb2gpI7os,924430,41899,1436,4282
Fake Footlocker Employee Prank! (EMPLOYEE TRIES TO FIGHT US),YlfPUzWvwWk,2314061,79318,1287,4643
Fake Security at College Prank!,BqSjJoUP0Fc,1337696,113314,726,3429
Fake Manager At Motel Prank!,XGtR4AkfFUU,2419159,70610,1170,5995
FUNNELLING BEERS IN FRONT OF COPS PRANK!,AfDZ52LNlFo,1214967,51745,826,5922
Why did we go to jail ...?,dlacjsjGqBM,1049836,49954,922,4174
NELK IS IN JAIL.. (message from the filmer),qF_fU4kKyqw,785690,43368,757,6046
Fake Best Buy Employee Prank!,p_Vr2_AxxbI,3313996,97344,2884,5695
George Hennen Was In Walmart?,pAaKGOjnSkE,766130,32437,555,2645
"What Does ""NELK"" Mean?",NuyHqE9EHus,743551,34223,380,2963
WATCHING PORN IN THE LIBRARY PRANK,acwVFwOjEdU,867032,53444,765,3308
DROPPING OUT OF COLLEGE PRANK ft. Wolfie,RDdIHTqRNS4,4592950,137809,2874,6586
Moving Into University Dorms Prank!,3FvUys56HA0,2107705,54763,815,3027
EPIC QUITTING MY JOB PRANK (ARRESTED),URDgQDTDhZw,3867920,115146,4723,5765
We legally can't upload this video..,ZIBYRnxEIuQ,407901,25181,553,2040
Hot Employee Hitting on Customers Prank!,q7A3qkzQPZA,4089614,91083,7262,6110
Can I Have Your WIFI Password?,3b-nSaRbJ68,2262999,53551,1763,6702
HOCKEY FIGHT IN THE MALL,IWQKIjv_npU,1308263,74011,869,6526
RETURNING USED CONDOMS PRANK,ZtnoR5SLu1w,3077121,59775,1984,3887
SLEEPING ON THE JOB PRANK,dG3A7Xc3J-Y,1510219,40518,1053,2322
AIRHORN GOLF PRANK! (GOLFERS COME AFTER US),H9A_dftYJrU,3835473,106479,3264,4370
Fishing At Bass Pro Shops Prank! (THEY CAUGHT US),P9X04Hz6IsU,1946844,42032,1672,2464
STOP BANGING MY MOM!,rSWjsd707_0,663437,22618,467,2784
Ordering Pizza NAKED Prank,dbkAL4MFHk0,1654116,99113,1632,4526
DRINKING ALCOHOL AT THE GYM,Dq3enwpzOko,958023,35842,599,1698
Fake Subway Employee Prank! (MAKING A SUB),Vp6qOj0mcpY,3645610,85707,3533,6502
THE END OF NELK,UQn4m_lIi9I,446928,31530,1498,4364
Walmart Employee at Target Prank (KICKED OUT),Gk42DHtjUJA,1323163,34358,639,2825
PARENTS HAVE TO BAIL US OUT OF JAIL!,N5rf-26bM4E,633337,14782,362,1007
Coke Prank on CORRUPT Mexican Cops,f5vr9GRREy8,11277271,208338,12681,21057
Buying EXTRA SMALL Condoms,eIOiDIj3v-0,2247310,32239,1535,1390
Calling In Sick To Places We Don't Work At (VIDCON),ErC3RyBaePA,416902,10975,407,1159
SCREAMING IN THE GYM ft. BigDawsTv,eiODhfYs2Sg,1930146,47726,1372,2699
WHAT HAPPENED TO LUCAS FROM NELK?,ddPif8BTFmU,1659501,36434,664,3472
SCREAMING DRIVE THRU ORDERS!,522u59NDj3k,3258102,61577,2862,3261
PUKING AS WALMART EMPLOYEE (KICKED OUT),_Z94FZRBwHU,773222,19967,537,1665
ORDERING PIZZA TO THE GYM,BFjJfniI_f4,1733655,34290,659,1149
Car Robbery Prank on Roommate,4irWbN5PWVk,846400,18633,470,850
Hitting Bongs In Drive Thrus,-ymJIBKp5a8,956656,59510,833,3009
Watching Porn In University Lectures,MuOIBmjZefc,1785577,46039,916,3022
Tim Hortons Roll Up The Rim PRANK,mrQqREmzDmo,2212905,80314,1067,5318
Why We Got An Assault Charge For a Prank Video..,Nt0GYeEIvtk,419381,8725,279,1003
Fake ToysRUs Employee Prank!,zEHbQJaPf40,1197877,27999,644,1621
Wanna Join The Mile High Club? (AIRPORT PRANK),3vzePtRER6I,1268335,24012,541,1183
How To Get Drugs In UNIVERSAL STUDIOS Prank!,v567hV7mEMo,579258,11992,450,832
Fake Walmart Employee TOILET PAPER FORT!,Q8zQjXmJzvU,771482,22293,432,1343
Fake Grocery Store Employee Prank! (COPS CALLED),W6aeJWwdQZE,2093749,36008,1333,2908
We Had To Escape The Snowstorm..,PpGvp0cQfsk,147425,4261,160,1162
Returning Things To SEX Shops Prank Call,Mxi---lAhz0,271256,12579,270,1272
Lowballing Craigslist Ads Prank Call!,sWuI8WuG-4M,1237173,34602,1009,2507
Reacting to Vitaly,yTETnQmyA5w,638328,14770,982,1551
Fake Movie Theatre Employee Prank!,IlhMwe-WjXY,2752182,54978,1058,5254
Can I Sleep Over?,zC4TYot6l1g,1228736,23844,530,2714
Dropping Out Of University Lectures,25PM8L5Z59U,1318222,29477,821,3212
Fake Gym Employee Prank! (BANNED FROM THE GYM),HPxEdHLouoo,1563234,21907,613,1156
Offering Students Drugs,sVG_IPgxOPM,2258595,42326,1773,2315
BANNED FROM GOODLIFE FOR 20 YEARS,xlf3Mfdzc-A,504557,10493,308,1007
Can I Have Your WIFI Password?,qLOqb_BBOQc,1354725,33602,2867,3915
WHY GOODLIFE FITNESS GYM IS SUING US!,poJRO6_y3Qc,1084173,18581,649,2164
Fake Walmart Employee Prank GONE WRONG (Getting Sued),eNx7vcDaHGE,2555644,52646,4176,3191
Fake Walmart Employee Prank! (ON THE INTERCOM),kev_og0qEBg,2534770,42706,2016,2291
Can You Hold My Dildo?,XRVaE6Xdnpo,431399,10814,286,614
PRANK CALLING 7 ELEVEN,oZFR4e4dvJM,629622,13196,965,1016
Fake McDonalds Employee Prank! (BEHIND THE COUNTER),APSI1JPOp3Q,4274431,67980,4135,4735
CALLING IN SICK TO PLACES WE DONT WORK AT,XdRTWvO_Lxw,1553474,26758,4111,2192
Lowballing Craigslist Ads PRANK CALL,QXOxX5Jieus,2010040,56785,3431,2820
Fake Starbucks Employee Prank! (GOT BUSTED),0wGBSy0Re0Q,2669109,49421,3446,2585
GRANDPA SMOKING BONG PRANK!,0i-1Z4tLoBI,813377,15711,984,981
Fake Home Depot Employee Prank!,AV9KpxGZSAQ,1491147,24028,2829,1976
COLLEGE DROPOUT PRANK!!,ntHC-5rlaO0,2058716,37858,3292,2319
10 Ways To Compliment Girls,bigKgkFaGw4,3216499,55312,1125,1684
FARTING ON COPS PRANK!!,eN4HbrHyIns,2382528,34092,5591,2748
FUNNY PRANK CALLS FT. ANDREA RUSSETT!!,B6if8SXfSQQ,427193,10460,678,700
DYEING ROOMMATE'S HAIR PRANK GONE WRONG!,6piToKV-6hk,3064442,36727,8880,1008
Prank on Cops With Donuts!,O4kdQ3hxrPA,1842381,40352,3342,2632
Bad Target Employee Prank !,VS47Et8OGqU,1861703,31328,1714,2027
Cop Drug Bust Prank On Wutang!,0WoZ8_cMV9o,1752770,25576,1379,1057
Bad Walmart Employee Prank !,s_-GofJj3nQ,2043329,29001,3597,2049
Calling In Sick To Places We Don't Work At,KPU8ezG8FLQ,1331108,21251,1464,1418
Breaking Up With Girls We're Not Dating PRANK,BzkvTkrr0Q8,2455599,54395,2990,2547
Sexy Snapchat Friend PRANK!,teRMVE-OtLw,1011756,18098,2201,1002
Getting Girls Numbers Celebration Prank !,g01U4QEfAhM,1614084,47233,638,1865
How to NOT Get Hired at McDonalds,zq1hj7ZvmFg,3625893,48699,1936,2444
Bad Apple Store Employee Prank!,x364TSJTXuQ,5944165,68348,9093,6362
Roomate Time Switch Prank!!,p727AxRhShQ,1260959,22236,925,624
Sexy Tinder Date Prank !,gdTuA_Zh9n8,1627820,25086,2768,2568
Coke Prank on Cops,bLeHQFBMtmk,28225828,349460,10316,17829
Homeless Man's Birthday Surprise!!,mJifDkyyxZ8,1110413,37085,217,2888
Donating To The Rich,zrOLIm7MKeo,3722117,47376,2777,3335
Can I Touch Your Cock!?,KrBWC2vSnAI,1153456,13387,208,434
7 Ways To Compliment Boobs,oChIeqBFNvQ,8418008,101306,1689,1916
Putting Lemons on People!!,TgFH9P5onAc,1157686,19559,623,906
Ordering Pizza To Our Meth Lab,g8ZgzRQhz64,4774046,56696,2734,2875
YOU LIT ME ON FIRE!!!,TpuWvIrSXUY,958677,13566,415,837
SHARK ATTACK PRANK!!!,S1HymNqvgWI,1011969,26559,1062,1259
Fake House Party Prank on Mom!!,1Od35C5mgBE,3832603,60737,2300,3233
"Asking Guys How 'BIG"" They Are!!",B5HeT8RZ-kc,601166,7374,306,421
Hold My Dildo Prank,E-gksmkhKMM,496370,6524,219,529
Involving Strangers In Drug Deals PRANK,Ybay3fhSZ0g,635321,12082,288,486
Calling In Sick To Places We Don't Work At,wYvh4EQkfXY,3857096,42012,2350,1606
Taking Selfies With Strangers Prank!,qm5PW_tW0Wk,406023,8573,238,542
CUTE LITTLE KID'S BEST HALLOWEEN!!!!,wxwM6o-UiMI,496171,9077,119,690
Stealing Soccer Balls From Real Games PRANK,_cXEwpcs2rc,7349243,84660,7605,5889
Pretending To Be a McDonalds Employee PRANK,Qmmh8Hc_zhI,6005706,46199,6196,2439
McDonalds Job Interview PRANK,lgLU93ZOdGU,1069109,11279,565,1246
